0.749621 896419501255.000000 0.007441	0.746553	2.000000	0.065788	1.934212 0.549722	1.532089	0.062000	1.470089	0.424075	-1.285575	-0.022000	-1.263575	0.346076	-25765.431221
0.756510 896419515619.000000 0.006914	0.753465	2.000000	0.065788	1.934212 0.559798	1.532089	0.062000	1.470089	0.431734	-1.285575	-0.022000	-1.263575	0.352658	-25765.431221
0.763388 896419529776.000000 0.006814	0.760276	2.000000	0.065788	1.934212 0.569817	1.532089	0.062000	1.470089	0.439349	-1.285575	-0.022000	-1.263575	0.359204	-25765.431221
0.771564 896419546234.000000 0.007921	0.768197	2.000000	0.065788	1.934212 0.581587	1.532089	0.062000	1.470089	0.448295	-1.285575	-0.022000	-1.263575	0.366893	-25765.431221
0.778128 896419560676.000000 0.006951	0.775145	2.000000	0.065788	1.934212 0.592009	1.532089	0.062000	1.470089	0.456215	-1.285575	-0.022000	-1.263575	0.373701	-25765.431221
0.784631 896419574196.000000 0.006508	0.781651	2.000000	0.065788	1.934212 0.601847	1.532089	0.062000	1.470089	0.463693	-1.285575	-0.022000	-1.263575	0.380128	-25765.431221
0.791494 896419588185.000000 0.006733	0.788383	2.000000	0.065788	1.934212 0.612115	1.532089	0.062000	1.470089	0.471497	-1.285575	-0.022000	-1.263575	0.386836	-25765.431221
0.797970 896419601920.000000 0.006611	0.794992	2.000000	0.065788	1.934212 0.622280	1.532089	0.062000	1.470089	0.479223	-1.285575	-0.022000	-1.263575	0.393476	-25765.431221
0.805238 896419615666.000000 0.006616	0.801607	2.000000	0.065788	1.934212 0.632539	1.532089	0.062000	1.470089	0.487020	-1.285575	-0.022000	-1.263575	0.400178	-25765.431221
0.812734 896419631286.000000 0.007518	0.809123	2.000000	0.065788	1.934212 0.644305	1.532089	0.062000	1.470089	0.495963	-1.285575	-0.022000	-1.263575	0.407865	-25765.431221
0.820441 896419647498.000000 0.007803	0.816924	2.000000	0.065788	1.934212 0.656634	1.532089	0.062000	1.470089	0.505334	-1.285575	-0.022000	-1.263575	0.415919	-25765.431221
0.828276 896419663778.000000 0.007835	0.824757	2.000000	0.065788	1.934212 0.669133	1.532089	0.062000	1.470089	0.514834	-1.285575	-0.022000	-1.263575	0.424085	-25765.431221
0.835825 896419679283.000000 0.007463	0.832219	2.000000	0.125960	1.874040 0.680773	1.532089	0.121000	1.411089	0.523598	-1.285575	-0.035000	-1.250575	0.431852	-25765.431221
0.843079 896419694941.000000 0.007536	0.839753	2.000000	0.125960	1.874040 0.692633	1.532089	0.121000	1.411089	0.532528	-1.285575	-0.035000	-1.250575	0.439766	-26972.801512
0.849612 896419709270.000000 0.006897	0.846648	2.000000	0.125960	1.874040 0.703576	1.532089	0.121000	1.411089	0.540768	-1.285575	-0.035000	-1.250575	0.447069	-26972.801512
0.855931 896419722547.000000 0.006390	0.853036	2.000000	0.125960	1.874040 0.713791	1.532089	0.121000	1.411089	0.548460	-1.285575	-0.035000	-1.250575	0.453886	-26972.801512
0.862707 896419736227.000000 0.006585	0.859619	2.000000	0.125960	1.874040 0.724399	1.532089	0.121000	1.411089	0.556447	-1.285575	-0.035000	-1.250575	0.460964	-26972.801512
0.869150 896419749808.000000 0.006537	0.866154	2.000000	0.125960	1.874040 0.735010	1.532089	0.121000	1.411089	0.564437	-1.285575	-0.035000	-1.250575	0.468045	-26972.801512
0.876058 896419763667.000000 0.006671	0.872823	2.000000	0.125960	1.874040 0.745921	1.532089	0.121000	1.411089	0.572652	-1.285575	-0.035000	-1.250575	0.475326	-26972.801512
0.882488 896419777642.000000 0.006727	0.879548	2.000000	0.125960	1.874040 0.757009	1.532089	0.121000	1.411089	0.581001	-1.285575	-0.035000	-1.250575	0.482725	-26972.801512
0.889220 896419791588.000000 0.006713	0.886259	2.000000	0.125960	1.874040 0.768158	1.532089	0.121000	1.411089	0.589396	-1.285575	-0.035000	-1.250575	0.490165	-26972.801512
0.895849 896419804997.000000 0.006454	0.892711	2.000000	0.125960	1.874040 0.778955	1.532089	0.121000	1.411089	0.597526	-1.285575	-0.035000	-1.250575	0.497370	-26972.801512
0.902513 896419819201.000000 0.006837	0.899546	2.000000	0.125960	1.874040 0.790481	1.532089	0.121000	1.411089	0.606204	-1.285575	-0.035000	-1.250575	0.505061	-26972.801512
